expression,size,complexity_space,f1_dnf,f1_cnf,f1_right,f1_left,acc_dnf,acc_cnf,acc_right,acc_left,precision_dnf,precision_cnf,precision_right,precision_left,recall_dnf,recall_cnf,recall_right,recall_left,cosine_dnf,cosine_cnf,cosine_right,cosine_left
N and N or N,3,2,0.6447282347282347,0.5655555555555554,0.5655555555555554,0.6447282347282347,0.6166666666666667,0.6333333333333333,0.6333333333333333,0.6166666666666667,0.7711111111111111,0.5211111111111111,0.5211111111111111,0.7711111111111111,0.5733333333333334,0.6444444444444445,0.6444444444444445,0.5733333333333334,0.6581202399387404,0.5740093272473932,0.5740093272473932,0.6581202399387404
N and N and N or N,4,3,0.658190157509043,0.4549271099271099,0.4549271099271099,0.658190157509043,0.6208333333333333,0.5875,0.5875,0.6208333333333333,0.6611386761386762,0.3057694157694158,0.3057694157694158,0.6611386761386762,0.6666666666666666,0.9111111111111111,0.9111111111111111,0.6666666666666666,0.6610283979780879,0.5255745147669749,0.5255745147669749,0.6610283979780879
N or N and N or N,4,4,0.8557630260238956,0.6885618525893126,0.7881854570550224,0.7712579208231383,0.7833333333333333,0.6083333333333333,0.7083333333333334,0.6833333333333333,0.9275702075702077,0.6220646020646021,0.7827539127539129,0.7668808968808968,0.8,0.7777777777777779,0.8,0.7818181818181819,0.8597514993056002,0.6942025888150284,0.7897778082489346,0.7728004780917188
N and N and N or N and N or N,6,18,0.6653185040738442,0.3251377224517115,0.3838828361576654,0.6370714708127785,0.5739583333333333,0.4947916666666667,0.5197916666666667,0.5489583333333333,0.7030053613288925,0.20087347752649418,0.24707103374245368,0.6568078051129331,0.6341085271317829,0.8592592592592594,0.8666666666666667,0.6211382113821138,0.6669317156657212,0.41496050953779784,0.46219469347509884,0.6380196173245402
N and N and N or N and N,5,6,0.5148721168952953,0.2679602242181324,0.3796905196626559,0.4447285937935165,0.63125,0.6229166666666667,0.64375,0.6104166666666667,0.4808655233655234,0.16662809412809412,0.2644880119880119,0.3830056055056055,0.5696969696969697,0.7111111111111109,0.6933333333333334,0.548148148148148,0.5200153242729686,0.3421760660166413,0.4259968454653725,0.45493471422074966
N and N or N and N or N and N,6,24,0.6299274260986866,0.2824719942994067,0.4831417704116409,0.4673808390836688,0.5822916666666667,0.5010416666666667,0.5447916666666667,0.5302083333333333,0.644280766045472,0.17709670621435322,0.38469598028421553,0.37251514575043987,0.6198198198198199,0.7037037037037036,0.6539682539682539,0.6317460317460317,0.6309851704506607,0.35254167224130367,0.5008692273384857,0.4844036969693415
N or N and N and N or N,5,8,0.7607386084028526,0.444237479586015,0.66936675548842,0.6932359380219603,0.65625,0.47291666666666665,0.5854166666666667,0.6145833333333334,0.8300851213932829,0.3173114816364244,0.6356112248064957,0.6588724245779929,0.7066666666666668,0.7481481481481483,0.712280701754386,0.7368421052631579,0.7645413172763635,0.48631369148291154,0.6716448252937028,0.6955350646598093
N and N and N or N or N and N,6,15,0.6397313388320128,0.2434148509297368,0.4005530134750631,0.46649800993248813,0.5614583333333333,0.49895833333333334,0.546875,0.49895833333333334,0.7112939566967439,0.14625592614340838,0.2750643192881282,0.3991584558293017,0.5844961240310077,0.7333333333333333,0.7435897435897437,0.5653333333333332,0.6437868479183884,0.32695093682079435,0.45153037912521976,0.4742868976313764
N or N and N or N and N,5,10,0.7599855176152044,0.4218603319873249,0.7485732767728172,0.45827968272285485,0.675,0.4666666666666667,0.675,0.4666666666666667,0.8057694894059142,0.30330809068189596,0.7572912777435595,0.35178630234425085,0.7217391304347825,0.6962962962962963,0.7428571428571428,0.6606060606060605,0.7618643803759395,0.4591136913149684,0.7493226379067958,0.481600023715046
N and N and N or N and N and N,6,9,0.4568071159462905,0.1591858499369798,0.3858505071213672,0.27568504523575127,0.6135416666666667,0.559375,0.6197916666666666,0.553125,0.34224458517422923,0.08753157977852083,0.2508683778010808,0.17890778715166925,0.6933333333333332,0.8888888888888888,0.8444444444444447,0.6074074074074074,0.4862497765466667,0.2784571107999696,0.45946016617299534,0.32905288392590515
