f1_dnf,f1_cnf,f1_right,f1_left,acc_dnf,acc_cnf,acc_right,acc_left,precision_dnf,precision_cnf,precision_right,precision_left,recall_dnf,recall_cnf,recall_right,recall_left,cosine_dnf,cosine_cnf,cosine_right,cosine_left
0.6956521739130435,0.42857142857142855,0.42857142857142855,0.6956521739130435,0.5625,0.5,0.5,0.5625,0.7619047619047619,0.2857142857142857,0.2857142857142857,0.7619047619047619,0.64,0.8571428571428571,0.8571428571428571,0.64,0.6982972487551756,0.4948716593053935,0.4948716593053935,0.6982972487551756
0.7659574468085107,0.3448275862068965,0.3448275862068965,0.7659574468085107,0.65625,0.40625,0.40625,0.65625,0.8181818181818182,0.22727272727272727,0.22727272727272727,0.8181818181818182,0.72,0.7142857142857143,0.7142857142857143,0.72,0.7675225788801975,0.4029114820126901,0.4029114820126901,0.7675225788801975
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5625,0.5,0.5,0.5625,0.8235294117647058,0.23529411764705882,0.23529411764705882,0.8235294117647058,0.56,0.5714285714285714,0.5714285714285714,0.56,0.6790997501017323,0.3666793988112845,0.3666793988112845,0.6790997501017323
0.7499999999999999,0.4666666666666667,0.4666666666666667,0.7499999999999999,0.625,0.5,0.5,0.625,0.782608695652174,0.30434782608695654,0.30434782608695654,0.782608695652174,0.72,1.0,1.0,0.72,0.7506518906054691,0.5516772843673704,0.5516772843673704,0.7506518906054691
0.8000000000000002,0.43750000000000006,0.43750000000000006,0.8000000000000002,0.6875,0.4375,0.4375,0.6875,0.8,0.28,0.28,0.8,0.8,1.0,1.0,0.8,0.8,0.5291502622129182,0.5291502622129182,0.8
0.7391304347826089,0.35714285714285715,0.35714285714285715,0.7391304347826089,0.625,0.4375,0.4375,0.625,0.8095238095238095,0.23809523809523808,0.23809523809523808,0.8095238095238095,0.68,0.7142857142857143,0.7142857142857143,0.68,0.7419408268023742,0.4123930494211613,0.4123930494211613,0.7419408268023742
0.7391304347826089,0.35714285714285715,0.35714285714285715,0.7391304347826089,0.625,0.4375,0.4375,0.625,0.8095238095238095,0.23809523809523808,0.23809523809523808,0.8095238095238095,0.68,0.7142857142857143,0.7142857142857143,0.68,0.7419408268023742,0.4123930494211613,0.4123930494211613,0.7419408268023742
0.8260869565217391,0.42857142857142855,0.42857142857142855,0.8260869565217391,0.75,0.5,0.5,0.75,0.9047619047619048,0.2857142857142857,0.2857142857142857,0.9047619047619048,0.76,0.8571428571428571,0.8571428571428571,0.76,0.8292279828967711,0.4948716593053935,0.4948716593053935,0.8292279828967711
0.8085106382978724,0.41379310344827586,0.41379310344827586,0.8085106382978724,0.71875,0.46875,0.46875,0.71875,0.8636363636363636,0.2727272727272727,0.2727272727272727,0.8636363636363636,0.76,0.8571428571428571,0.8571428571428571,0.76,0.8101627221513196,0.48349377841522817,0.48349377841522817,0.8101627221513196
0.8333333333333333,0.4666666666666667,0.4666666666666667,0.8333333333333333,0.75,0.5,0.5,0.75,0.8695652173913043,0.30434782608695654,0.30434782608695654,0.8695652173913043,0.8,1.0,1.0,0.8,0.8340576562282991,0.5516772843673704,0.5516772843673704,0.8340576562282991
0.7142857142857143,0.5,0.5,0.7142857142857143,0.625,0.625,0.625,0.625,0.8823529411764706,0.35294117647058826,0.35294117647058826,0.8823529411764706,0.6,0.8571428571428571,0.8571428571428571,0.6,0.7276068751089989,0.5500190982169267,0.5500190982169267,0.7276068751089989
0.7272727272727272,0.46153846153846156,0.46153846153846156,0.7272727272727272,0.625,0.5625,0.5625,0.625,0.8421052631578947,0.3157894736842105,0.3157894736842105,0.8421052631578947,0.64,0.8571428571428571,0.8571428571428571,0.64,0.7341303483857976,0.5202659817144719,0.5202659817144719,0.7341303483857976
0.7499999999999999,0.4,0.4,0.7499999999999999,0.625,0.4375,0.4375,0.625,0.782608695652174,0.2608695652173913,0.2608695652173913,0.782608695652174,0.72,0.8571428571428571,0.8571428571428571,0.72,0.7506518906054691,0.47286624374346037,0.47286624374346037,0.7506518906054691
0.7555555555555556,0.37037037037037035,0.37037037037037035,0.7555555555555556,0.65625,0.46875,0.46875,0.65625,0.85,0.25,0.25,0.85,0.68,0.7142857142857143,0.7142857142857143,0.68,0.7602631123499285,0.42257712736425823,0.42257712736425823,0.7602631123499285
0.7391304347826089,0.42857142857142855,0.42857142857142855,0.7391304347826089,0.625,0.5,0.5,0.625,0.8095238095238095,0.2857142857142857,0.2857142857142857,0.8095238095238095,0.68,0.8571428571428571,0.8571428571428571,0.68,0.7419408268023742,0.4948716593053935,0.4948716593053935,0.7419408268023742
