f1_dnf,f1_cnf,f1_right,f1_left,acc_dnf,acc_cnf,acc_right,acc_left,precision_dnf,precision_cnf,precision_right,precision_left,recall_dnf,recall_cnf,recall_right,recall_left,cosine_dnf,cosine_cnf,cosine_right,cosine_left
0.5,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.5,0.5,0.625,0.375,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.5714285714285714,0.6666666666666666,0.8,0.4,0.5039526306789696,0.3849001794597505,0.5962847939999439,0.29814239699997197
0.3333333333333333,0.5,0.4000000000000001,0.4000000000000001,0.5,0.75,0.625,0.625,0.4,0.4,0.4,0.4,0.2857142857142857,0.6666666666666666,0.4,0.4,0.33806170189140655,0.5163977794943222,0.3999999999999999,0.3999999999999999
0.5714285714285714,0.4,0.5,0.5,0.625,0.625,0.625,0.625,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.6,0.6,0.5714285714285714,0.4364357804719848,0.5070925528371099,0.5070925528371099
0.588235294117647,0.30769230769230765,0.5333333333333333,0.4,0.5625,0.4375,0.5625,0.4375,0.5,0.2,0.4,0.3,0.7142857142857143,0.6666666666666666,0.8,0.6,0.5976143046671968,0.3651483716701107,0.5656854249492379,0.42426406871192845
0.6666666666666666,0.5454545454545454,0.6153846153846154,0.6153846153846154,0.6875,0.6875,0.6875,0.6875,0.625,0.375,0.5,0.5,0.7142857142857143,1.0,0.8,0.8,0.6681531047810609,0.6123724356957945,0.6324555320336759,0.6324555320336759
0.588235294117647,0.30769230769230765,0.5333333333333333,0.4,0.5625,0.4375,0.5625,0.4375,0.5,0.2,0.4,0.3,0.7142857142857143,0.6666666666666666,0.8,0.6,0.5976143046671968,0.3651483716701107,0.5656854249492379,0.42426406871192845
0.8750000000000001,0.5,0.7142857142857143,0.7142857142857143,0.875,0.625,0.75,0.75,0.7777777777777778,0.3333333333333333,0.5555555555555556,0.5555555555555556,1.0,1.0,1.0,1.0,0.8819171036881969,0.5773502691896257,0.7453559924999299,0.7453559924999299
0.5714285714285714,0.4,0.5,0.5,0.625,0.625,0.625,0.625,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.6666666666666666,0.6,0.6,0.5714285714285714,0.4364357804719848,0.5070925528371099,0.5070925528371099
0.588235294117647,0.4615384615384615,0.5333333333333333,0.5333333333333333,0.5625,0.5625,0.5625,0.5625,0.5,0.3,0.4,0.4,0.7142857142857143,1.0,0.8,0.8,0.5976143046671968,0.5477225575051661,0.5656854249492379,0.5656854249492379
0.7999999999999999,0.5454545454545454,0.7692307692307693,0.6153846153846154,0.8125,0.6875,0.8125,0.6875,0.75,0.375,0.625,0.5,0.8571428571428571,1.0,1.0,0.8,0.8017837257372731,0.6123724356957945,0.7905694150420948,0.6324555320336759
0.39999999999999997,0.36363636363636365,0.4615384615384615,0.3076923076923077,0.4375,0.5625,0.5625,0.4375,0.375,0.25,0.375,0.25,0.42857142857142855,0.6666666666666666,0.6,0.4,0.40089186286863654,0.40824829046386296,0.4743416490252569,0.31622776601683794
0.5714285714285714,0.6,0.6666666666666666,0.5,0.625,0.75,0.75,0.625,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.5714285714285714,1.0,0.8,0.6,0.5714285714285714,0.6546536707079772,0.6761234037828131,0.5070925528371099
0.5,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.5,0.5,0.625,0.375,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.5714285714285714,0.6666666666666666,0.8,0.4,0.5039526306789696,0.3849001794597505,0.5962847939999439,0.29814239699997197
0.6250000000000001,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.625,0.5,0.5,0.625,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.7142857142857143,0.6666666666666666,0.6,0.8,0.629940788348712,0.3849001794597505,0.4472135954999579,0.5962847939999439
0.75,0.5,0.5714285714285714,0.7142857142857143,0.75,0.625,0.625,0.75,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.8571428571428571,1.0,0.8,1.0,0.7559289460184544,0.5773502691896257,0.5962847939999439,0.7453559924999299
