f1_dnf,f1_cnf,f1_right,f1_left,acc_dnf,acc_cnf,acc_right,acc_left,precision_dnf,precision_cnf,precision_right,precision_left,recall_dnf,recall_cnf,recall_right,recall_left,cosine_dnf,cosine_cnf,cosine_right,cosine_left
0.9090909090909091,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.875,0.625,0.875,0.625,0.8333333333333334,0.5,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,0.9128709291752769,0.7071067811865476,0.9128709291752769,0.7071067811865476
0.6,0.25,0.6,0.25,0.5,0.25,0.5,0.25,0.6,0.2,0.6,0.2,0.6,0.3333333333333333,0.6,0.3333333333333333,0.5999999999999999,0.2581988897471611,0.5999999999999999,0.2581988897471611
0.8000000000000002,0.5,0.8000000000000002,0.5,0.75,0.5,0.75,0.5,0.8,0.4,0.8,0.4,0.8,0.6666666666666666,0.8,0.6666666666666666,0.7999999999999998,0.5163977794943222,0.7999999999999998,0.5163977794943222
0.7272727272727272,0.4444444444444444,0.7272727272727272,0.4444444444444444,0.625,0.375,0.625,0.375,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8,0.6666666666666666,0.8,0.6666666666666666,0.7302967433402214,0.47140452079103173,0.7302967433402214,0.47140452079103173
0.888888888888889,0.8571428571428571,0.888888888888889,0.8571428571428571,0.875,0.875,0.875,0.875,1.0,0.75,1.0,0.75,0.8,1.0,0.8,1.0,0.8944271909999159,0.8660254037844387,0.8944271909999159,0.8660254037844387
0.8333333333333333,0.6,0.8333333333333333,0.6,0.75,0.5,0.75,0.5,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.42857142857142855,1.0,1.0,1.0,1.0,0.8451542547285165,0.6546536707079772,0.8451542547285165,0.6546536707079772
0.7272727272727272,0.4444444444444444,0.7272727272727272,0.4444444444444444,0.625,0.375,0.625,0.375,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.8,0.6666666666666666,0.8,0.6666666666666666,0.7302967433402214,0.47140452079103173,0.7302967433402214,0.47140452079103173
0.7272727272727272,0.6666666666666666,0.7272727272727272,0.6666666666666666,0.625,0.625,0.625,0.625,0.6666666666666666,0.5,0.6666666666666666,0.5,0.8,1.0,0.8,1.0,0.7302967433402214,0.7071067811865476,0.7302967433402214,0.7071067811865476
1.0,0.7499999999999999,1.0,0.7499999999999999,1.0,0.75,1.0,0.75,1.0,0.6,1.0,0.6,1.0,1.0,1.0,1.0,0.9999999999999998,0.7745966692414834,0.9999999999999998,0.7745966692414834
0.5454545454545454,0.2222222222222222,0.5454545454545454,0.2222222222222222,0.375,0.125,0.375,0.125,0.5,0.16666666666666666,0.5,0.16666666666666666,0.6,0.3333333333333333,0.6,0.3333333333333333,0.5477225575051661,0.23570226039551587,0.5477225575051661,0.23570226039551587
0.6666666666666665,0.28571428571428575,0.6666666666666665,0.28571428571428575,0.625,0.375,0.625,0.375,0.75,0.25,0.75,0.25,0.6,0.3333333333333333,0.6,0.3333333333333333,0.6708203932499369,0.2886751345948129,0.6708203932499369,0.2886751345948129
0.8000000000000002,0.7499999999999999,0.8000000000000002,0.7499999999999999,0.75,0.75,0.75,0.75,0.8,0.6,0.8,0.6,0.8,1.0,0.8,1.0,0.7999999999999998,0.7745966692414834,0.7999999999999998,0.7745966692414834
0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.3333333333333333,0.4,0.3333333333333333,0.5163977794943222,0.33333333333333337,0.5163977794943222,0.33333333333333337
0.9090909090909091,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.875,0.625,0.875,0.625,0.8333333333333334,0.5,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,0.9128709291752769,0.7071067811865476,0.9128709291752769,0.7071067811865476
0.9090909090909091,0.6666666666666666,0.9090909090909091,0.6666666666666666,0.875,0.625,0.875,0.625,0.8333333333333334,0.5,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,0.9128709291752769,0.7071067811865476,0.9128709291752769,0.7071067811865476
