f1_dnf,f1_cnf,f1_right,f1_left,acc_dnf,acc_cnf,acc_right,acc_left,precision_dnf,precision_cnf,precision_right,precision_left,recall_dnf,recall_cnf,recall_right,recall_left,cosine_dnf,cosine_cnf,cosine_right,cosine_left
0.5882352941176471,0.5454545454545454,0.5454545454545454,0.5882352941176471,0.5625,0.6875,0.6875,0.5625,0.625,0.375,0.375,0.625,0.5555555555555556,1.0,1.0,0.5555555555555556,0.5892556509887895,0.6123724356957945,0.6123724356957945,0.5892556509887895
0.7272727272727274,0.375,0.375,0.7272727272727274,0.625,0.375,0.375,0.625,0.6153846153846154,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.8888888888888888,1.0,1.0,0.8888888888888888,0.7396002616336389,0.4803844614152615,0.4803844614152615,0.7396002616336389
0.375,0.2,0.2,0.375,0.375,0.5,0.5,0.375,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3779644730092272,0.2182178902359924,0.2182178902359924,0.3779644730092272
0.7000000000000001,0.42857142857142855,0.42857142857142855,0.7000000000000001,0.625,0.5,0.5,0.625,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.6363636363636364,0.7777777777777778,1.0,1.0,0.7777777777777778,0.7035264706814485,0.5222329678670935,0.5222329678670935,0.7035264706814485
0.7000000000000001,0.42857142857142855,0.42857142857142855,0.7000000000000001,0.625,0.5,0.5,0.625,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.6363636363636364,0.7777777777777778,1.0,1.0,0.7777777777777778,0.7035264706814485,0.5222329678670935,0.5222329678670935,0.7035264706814485
0.6250000000000001,0.6,0.6,0.6250000000000001,0.625,0.75,0.75,0.625,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5555555555555556,1.0,1.0,0.5555555555555556,0.629940788348712,0.6546536707079772,0.6546536707079772,0.629940788348712
0.7058823529411765,0.5454545454545454,0.5454545454545454,0.7058823529411765,0.6875,0.6875,0.6875,0.6875,0.75,0.375,0.375,0.75,0.6666666666666666,1.0,1.0,0.6666666666666666,0.7071067811865475,0.6123724356957945,0.6123724356957945,0.7071067811865475
0.6666666666666666,0.5,0.5,0.6666666666666666,0.625,0.625,0.625,0.625,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5773502691896257,0.5773502691896257,0.6666666666666666
0.5333333333333333,0.4444444444444444,0.4444444444444444,0.5333333333333333,0.5625,0.6875,0.6875,0.5625,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.5443310539518174,0.47140452079103173,0.47140452079103173,0.5443310539518174
0.7777777777777778,0.5,0.5,0.7777777777777778,0.75,0.625,0.625,0.75,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.7777777777777778,1.0,1.0,0.7777777777777778,0.7777777777777778,0.5773502691896257,0.5773502691896257,0.7777777777777778
0.6666666666666666,0.5,0.5,0.6666666666666666,0.625,0.625,0.625,0.625,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5773502691896257,0.5773502691896257,0.6666666666666666
0.7368421052631577,0.4615384615384615,0.4615384615384615,0.7368421052631577,0.6875,0.5625,0.5625,0.6875,0.7,0.3,0.3,0.7,0.7777777777777778,1.0,1.0,0.7777777777777778,0.7378647873726218,0.5477225575051661,0.5477225575051661,0.7378647873726218
0.7368421052631577,0.4615384615384615,0.4615384615384615,0.7368421052631577,0.6875,0.5625,0.5625,0.6875,0.7,0.3,0.3,0.7,0.7777777777777778,1.0,1.0,0.7777777777777778,0.7378647873726218,0.5477225575051661,0.5477225575051661,0.7378647873726218
0.6666666666666666,0.5,0.5,0.6666666666666666,0.625,0.625,0.625,0.625,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5773502691896257,0.5773502691896257,0.6666666666666666
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.625,0.5,0.5,0.625,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3849001794597505,0.3849001794597505,0.6666666666666666
